"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","RITTENHOUSE ROAD GEN. PRTSHP.","58-113495.0005","IRRIGATION USE","625918","D-02-08 31DDA","205","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","SKOUSEN MCLAWS & SKOUSEN PC EMPLOYEES PROFIT SHARING PLAN","58-106947.0001","IRRIGATION USE","625919","B-01-04 36AB","675.95","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","GILES, W JULIE","58-104180.0001","IRRIGATION USE","625921","D-04-09 35AAA","267.7","WITHDRAWAL","GROUNDWATER","33","2","43.6","111","23","13.5","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","FER PROPERTIES","58-108796.0002","IRRIGATION USE","625942","A-01-01 06AAA","295.41","WITHDRAWAL","GROUNDWATER","33","27","51.49","112","17","24.33","58"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1994","RIVERA MARIA ANTONIA G","58-113248.0000","TYPE 2 NON-IRRIGATION GFR","625956","D-20-13 30CAA","9.2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","","60-203203.0000","IRRIGATION USE","625975","D-23-26 05CDD","1","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PRESCOTT AMA","PRESCOTT AMA","LITTLE CHINO","1994","VALERIE MYERS","58-105220.0001","IRRIGATION USE","626032","B-16-02 03CDD","90","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1994","YOUNG ACRES INC","58-100544.0000","IRRIGATION USE","626034","A-13-01 11CDD","97.97","WITHDRAWAL","GROUNDWATER","34","30","53.9","112","13","47.2","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626035","D-13-13 22DCD","8.55","WITHDRAWAL","GROUNDWATER","32","16","46.84","110","59","55.24","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626037","D-13-13 23ABC","308.62","WITHDRAWAL","GROUNDWATER","32","17","27.93","110","59","9.209","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626038","D-13-13 22ABD","31.88","WITHDRAWAL","GROUNDWATER","32","17","25.87","110","59","56.058","56"
